datetime,Rain_Gage_at_Lake_Johnson_354546078422045_lag2,Walnut_Creek_at_Buck_Jones_Road_02087337_lag1,Walnut_Creek_at_South_Wilmington_St_0208734795_lag1,Walnut_Creek_at_Trailwood_Drive_0208734210_lag1,target_south_state_t,Walnut_Creek_at_South_State_Street_0208735460_lag1,Walnut_Creek_at_South_State_Street_0208735460_lag2,Walnut_Creek_at_South_State_Street_0208735460_lag3,Walnut_Creek_at_South_State_Street_0208735460_lag4,Walnut_Creek_at_South_State_Street_0208735460_lag5,Walnut_Creek_at_South_State_Street_0208735460_lag6
2024-07-01 10:00:00,0.0,0.09,0.83,0.5,1.6808333333333332,1.71,1.7391666666666667,1.785,1.8641666666666667,1.975833333333333,2.205833333333333
2024-07-01 11:00:00,0.0,0.2266666666666666,0.7766666666666667,0.5,1.66,1.6808333333333332,1.71,1.7391666666666667,1.785,1.8641666666666667,1.975833333333333
2024-07-01 12:00:00,0.0,0.325,0.77,0.5,1.6475,1.66,1.6808333333333332,1.71,1.7391666666666667,1.785,1.8641666666666667
2024-07-01 13:00:00,0.0,0.32,0.7566666666666667,0.4966666666666666,1.6358333333333333,1.6475,1.66,1.6808333333333332,1.71,1.7391666666666667,1.785
2024-07-01 14:00:00,0.0,0.32,0.7233333333333333,0.4866666666666666,1.6125,1.6358333333333333,1.6475,1.66,1.6808333333333332,1.71,1.7391666666666667
2024-07-01 15:00:00,0.0,0.2741666666666666,0.7033333333333333,0.4766666666666667,1.5958333333333334,1.6125,1.6358333333333333,1.6475,1.66,1.6808333333333332,1.71
2024-07-01 16:00:00,0.0,0.265,0.69,0.4833333333333333,1.5916666666666668,1.5958333333333334,1.6125,1.6358333333333333,1.6475,1.66,1.6808333333333332
2024-07-01 17:00:00,0.0,0.215,0.69,0.4933333333333333,1.5991666666666668,1.5916666666666668,1.5958333333333334,1.6125,1.6358333333333333,1.6475,1.66
2024-07-01 18:00:00,0.0,0.21,0.69,0.5,1.6083333333333334,1.5991666666666668,1.5916666666666668,1.5958333333333334,1.6125,1.6358333333333333,1.6475
2024-07-01 19:00:00,0.0,0.1899999999999999,0.69,0.46,1.6058333333333332,1.6083333333333334,1.5991666666666668,1.5916666666666668,1.5958333333333334,1.6125,1.6358333333333333
